"","Estimate","Std. Error","t value","Pr(>|t|)","PAdj"
"HTRA3",-0.000763471681118964,0.000728332539812579,-1.04824601316787,0.294664304114066,0.605840744474647
"GSTM4",0.000249905270834421,0.000580934136821119,0.430178319700589,0.667116805991332,0.863427261962092
"PHB2",-0.00151000794018012,0.000763362656304438,-1.97810035336326,0.0480678206501055,0.253114391700649
"OR2A12",-0.000202409523721082,0.000234529051055269,-0.863046700655361,0.388225377805202,0.685130069985311
"CNNM2",-0.000156415989748461,0.000379384246512492,-0.41228910052624,0.680176039423326,0.870922690802774
"BC043537",0.000183149798578556,0.000222768205636452,0.822154122287312,0.411096761232602,0.701807893913132
"BG192111",-0.000170221793730649,0.000228607617133078,-0.744602458419217,0.456608106947606,0.738329552096833
"ALG1L2",0.000399009495476152,0.000220722002070276,1.80774681152589,0.0708107645852562,0.30659500913531
"ZNF552",0.000117788631681621,0.00112370559013386,0.104821612276209,0.916528897923061,0.971821900877179
"FAM166A",-0.00050337240308871,0.00024785448917118,-2.0309190475911,0.0424081396740516,0.236394420055807
"BG217842",6.20131777952766e-05,0.000233068663740794,0.266072567628586,0.790213426224476,0.922035356458983
"APBA3",0.000859583008926235,0.000613610902815276,1.40086006454975,0.1614262102943,0.454764047355446
"ODC1",-0.00179387438061341,0.00147647731472618,-1.21496914495168,0.224535282637953,0.535369448857303
"ARX",0.000509791711408173,0.000494941595423442,1.03000377442924,0.303144942140311,0.614357613945035
"POPDC2",-1.04947117547816e-05,0.000445499372317155,-0.0235571864000526,0.981208402528724,0.993667860971956
"KATNA1",-0.00136801560512036,0.000808530633865308,-1.69197745616681,0.0908212616265454,0.343987060839007
"TMED10",0.0019458504463791,0.00121944543991505,1.59568471264664,0.110732627070982,0.380153938639856
"AA780530",9.93690301633433e-05,0.00022902126156267,0.433885611690911,0.664422877835786,0.862573584277543
"RNF38",-0.000437872153912576,0.000739724031963675,-0.591939878917005,0.553964289876828,0.799118732332714
"SCLT1",-0.000310676665035899,0.000352433672987534,-0.881518109215654,0.378153728668713,0.677711999720468
"BCAR3",0.00174921558831205,0.00140074309501399,1.24877687745773,0.211907117411473,0.520827989223775
"CA428473",0.000353811682922102,0.000251183136903271,1.4085805571349,0.159129850643217,0.451838289498241
"C14orf118",-0.00092436952657632,0.000350526341467467,-2.63709004780205,0.00843314335259927,0.106299820379803
"VSIG2",-0.000661016624047943,0.00127741247410264,-0.517465296017478,0.604894204717913,0.828698599008608
"ZAR1L",0.00026374233219965,0.00023682314652295,1.11366788285659,0.265568586429759,0.578595981081882
"HAAO",-0.000214230833650491,0.000383325460956223,-0.558874521708217,0.576316038674641,0.811163243252103
"LOC347411",-4.55283905035564e-05,0.00024611163672959,-0.184990807864887,0.85325683433209,0.946435742664031
"BU634505",0.000549778049161122,0.000241512302298396,2.27639769870544,0.022937768764378,0.174671109140738
